H,baseline,metric,delta_mean,delta_ci_low,delta_ci_high,n_seeds,pvalue
1,B0,fro_skill,-0.003463525029852125,-0.01809415800752649,0.009335289326776778,6,
1,B1,fro_skill,-0.012889350756978871,-0.021268549707513223,-0.0024469967261368333,6,
1,B2,fro_skill,0.8979350091270674,0.8854269841186887,0.9121530186000225,6,
5,B0,fro_skill,0.5041843415289455,0.48890102168757127,0.5174472583392121,6,
5,B1,fro_skill,0.017586555816276977,0.007240252406392922,0.029063983794480996,6,
5,B2,fro_skill,0.9126977188472893,0.9022882038076377,0.9226183487183598,6,
10,B0,fro_skill,0.64999188675873,0.6217714237961712,0.6713802130438457,6,
10,B1,fro_skill,0.013962642884873552,0.001867386644493374,0.025052842820779114,6,
10,B2,fro_skill,0.9147749972886992,0.9019070152806564,0.9285540164077837,6,
1,B3,"Spearman(B3 scalar, TARGET trace)",0.9738644218558271,,,6,6.230569808322157e-279
5,B3,"Spearman(B3 scalar, TARGET trace)",0.9774213551146193,,,6,2.0007810127019838e-292
10,B3,"Spearman(B3 scalar, TARGET trace)",0.9806773251123626,,,6,8.180826081944091e-307
