target,model,n,MAE,RMSE,R2,Spearman,metric_status,Model2_lower_MAE_and_RMSE_than_Model0_and_Model1,Model2_higher_Spearman_than_defined_baselines,Model2_success_status
system_level_eta_c,Model0,150,0.6741022205582528,0.9052738313735794,-1.2446047891280378,nan,INCONCLUSIVE_CONSTANT_PREDICTION_FOR_SPEARMAN,True,INCONCLUSIVE_BASELINE_CONSTANT_OR_MODEL2_CONSTANT,INCONCLUSIVE_CORRELATION_COMPARISON
system_level_eta_c,Model1,150,0.6741022205582528,0.9052738313735794,-1.2446047891280378,nan,INCONCLUSIVE_CONSTANT_PREDICTION_FOR_SPEARMAN,True,INCONCLUSIVE_BASELINE_CONSTANT_OR_MODEL2_CONSTANT,INCONCLUSIVE_CORRELATION_COMPARISON
system_level_eta_c,Model2,150,0.2075223057917909,0.2839890220312635,0.7791064389440641,0.8714456613038271,CONFIRMED_PREDECLARED_OUT_OF_TARGET_FIT,True,INCONCLUSIVE_BASELINE_CONSTANT_OR_MODEL2_CONSTANT,INCONCLUSIVE_CORRELATION_COMPARISON
system_level_DeltaS,Model0,150,0.0041663786555388264,0.011482155817036955,-0.15162937189699455,nan,INCONCLUSIVE_CONSTANT_PREDICTION_FOR_SPEARMAN,True,True,SUPPORTED_ON_THIS_TARGET
system_level_DeltaS,Model1,150,0.000706980857880147,0.002347188259720978,0.9518760009974006,0.9847636425933395,CONFIRMED_PREDECLARED_OUT_OF_TARGET_FIT,True,True,SUPPORTED_ON_THIS_TARGET
system_level_DeltaS,Model2,150,0.00017741321401889195,0.0008107713785262918,0.9942580067355143,0.9998159894571576,CONFIRMED_PREDECLARED_OUT_OF_TARGET_FIT,True,True,SUPPORTED_ON_THIS_TARGET
system_difference_Delta_eta,Model0,75,0.8524136907008959,1.0251421431279089,-2.24049557255445,nan,INCONCLUSIVE_CONSTANT_PREDICTION_FOR_SPEARMAN,True,INCONCLUSIVE_BASELINE_CONSTANT_OR_MODEL2_CONSTANT,INCONCLUSIVE_CORRELATION_COMPARISON
system_difference_Delta_eta,Model1,75,0.8524136907008959,1.0251421431279089,-2.24049557255445,nan,INCONCLUSIVE_CONSTANT_PREDICTION_FOR_SPEARMAN,True,INCONCLUSIVE_BASELINE_CONSTANT_OR_MODEL2_CONSTANT,INCONCLUSIVE_CORRELATION_COMPARISON
system_difference_Delta_eta,Model2,75,0.1475578556191062,0.22166110110890938,0.8484966521071184,0.9543158759529301,CONFIRMED_PREDECLARED_OUT_OF_TARGET_FIT,True,INCONCLUSIVE_BASELINE_CONSTANT_OR_MODEL2_CONSTANT,INCONCLUSIVE_CORRELATION_COMPARISON
system_difference_DeltaS,Model0,75,0.0011875476348115624,0.0031254850560902356,-0.16816907755939692,nan,INCONCLUSIVE_CONSTANT_PREDICTION_FOR_SPEARMAN,True,INCONCLUSIVE_BASELINE_CONSTANT_OR_MODEL2_CONSTANT,INCONCLUSIVE_CORRELATION_COMPARISON
system_difference_DeltaS,Model1,75,0.0011875476348115624,0.0031254850560902356,-0.16816907755939692,nan,INCONCLUSIVE_CONSTANT_PREDICTION_FOR_SPEARMAN,True,INCONCLUSIVE_BASELINE_CONSTANT_OR_MODEL2_CONSTANT,INCONCLUSIVE_CORRELATION_COMPARISON
system_difference_DeltaS,Model2,75,0.000124117778702535,0.00037183678297712607,0.9834660907180893,0.9776999051377857,CONFIRMED_PREDECLARED_OUT_OF_TARGET_FIT,True,INCONCLUSIVE_BASELINE_CONSTANT_OR_MODEL2_CONSTANT,INCONCLUSIVE_CORRELATION_COMPARISON
